2	10	8	50	0	22.155	1.84	0.428421	0.43826	3747	1
2	10	8	50	1	22.14	1.7	0.22135	0.35028	4136	1
2	10	8	50	1.5	22.14	1.63	0.124739	0.29137	4357	1
2	10	8	50	2	22.14	1.52	0.0531744	0.246628	4566	1
2	10	8	50	2.5	22.14	1.46	-0.0423799	0.184569	4767	1
2	10	8	50	3	22.14	1.36	-0.139058	0.140484	5167	1
2	10	8	50	3.5	22.145	1.29	-0.231893	0.0923669	5357	1
2	10	8	50	4	22.145	1.2	-0.328746	0.0365065	5398	1
2	10	8	50	4.5	22.15	1.12	-0.41311	0.00308129	5432	1
2	10	8	50	5	22.15	1.04	-0.491682	-0.0381238	5419	1
2	10	8	100	0	22.07	3.7	0.746805	0.864673	5337	1
2	10	8	100	0.5	22.06	3.55	0.714593	0.811726	5323	1
2	10	8	100	1	22.055	3.55	0.65327	0.799068	5360	1
2	10	8	100	1.5	22.05	3.45	0.543073	0.800244	5398	1
2	10	8	100	2	22.055	3.3	0.375993	0.707426	5441	1
2	10	8	100	2.5	22.06	3	0.230697	0.608608	5533	1
2	10	8	100	3	22.065	2.83	0.103923	0.505272	5608	1
2	10	8	100	3.5	22.07	2.6	0.00146965	0.439909	5689	1
2	10	8	100	4	22.075	2.39	-0.0856554	0.38712	5424	1
2	10	8	100	4.5	22.08	2.2	-0.192386	0.318814	5360	1
2	10	8	100	5	22.08	2.03	-0.284249	0.251804	5317	1
2	10	8	100	6	22.09	1.65	-0.493531	0.113131	5264	1
2	10	8	100	7	22.1	1.3	-0.750406	-0.0151495	5111	1
4	10.5	8	10	0	22.16	0.14	0.0220936	0.0346429	1959	1
4	10.5	8	10	0.5	22.16	0.12	-0.119981	-0.150833	2589	1
4	10.5	8	10	1	22.16	0.11	-0.277307	-0.202609	3082	1
4	10.5	8	50	0	22.09	2.3	0.786008	0.795286	3558	1
4	10.5	8	50	3.5	22.095	1.24	-0.310343	0.0522114	5097	1
4	10.5	8	50	4	22.1	1.1	-0.417778	-0.00124107	5159	1
4	10.5	8	50	4.5	22.105	0.95	-0.537162	-0.0923153	5281	1
4	10.5	8	100	0	21.94	6.6	1.84997	1.97452	5070	1
4	10.5	8	100	0.5	21.9	6.35	1.47485	1.87031	5091	1
4	10.5	8	100	1	21.89	5.95	1.198	1.71389	5137	1
4	10.5	8	100	1.5	21.71	5.45	0.99741	1.52751	5191	1
4	10.5	8	100	2	21.865	5.1	0.799304	1.39329	5239	1
4	10.5	8	100	2.5	21.85	4.68	0.614537	1.25421	5363	1
4	10.5	8	100	3	21.84	4.2	0.3836	1.04451	5473	1
4	10.5	8	100	3.5	21.84	3.7	0.189969	0.849669	5589	1
4	10.5	8	100	4	21.84	3.1	-0.00236394	0.655916	5697	1
4	10.5	8	100	4.5	21.85	2.55	-0.229005	0.464126	5755	1
4	10.5	8	100	5	21.85	2.12	-0.386198	0.283706	5227	1
4	10.5	8	100	5.5	21.86	1.61	-0.283706	0.110982	5170	1
4	10.5	8	100	6	21.855	1.16	-0.762923	-0.0467708	5108	1
4	10.5	8	100	7	21.87	0.38	-1.1057	-0.350725	5051	1
